date,home_team,away_team,home_team_ar,away_team_ar,home_score,away_score,tournament,tournament_ar,city,country,country_ar,neutral,day,month,year,home_result,away_result,total_goals,serial,home_group,away_group,home_team_txt,away_team_txt,year_n,result,home_random,away_random,decade,home_result_desc,away_result_desc
22/04/1906,France,Belgium,فرنسا,بلجيكا,0,5,Friendly,مبارة ودية,Saint-Cloud,France,فرنسا,FALSE,22,4,1906,-5,5,5,16,0,1,France,Belgium,6,5,0.39137,0.16348,1,loser,winner
29/04/1906,Belgium,Netherlands,بلجيكا,هولندا,5,0,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,29,4,1906,5,-5,5,17,1,1,Belgium,Netherlands,6,5,0.85972,0.03792,1,winner,loser
13/05/1906,Netherlands,Belgium,هولندا,بلجيكا,2,3,Friendly,مبارة ودية,Rotterdam,Netherlands,هولندا,FALSE,13,5,1906,-1,1,5,18,1,1,Netherlands,Belgium,6,1,0.31951,0.98711,1,loser,winner
15/08/1906,Uruguay,Argentina,أوروغواي,الأرجنتين,0,2,Copa Lipton, كأس ليبتون,Montevideo,Uruguay,أوروغواي,FALSE,15,8,1906,-2,2,2,19,1,1,Uruguay,Argentina,6,2,0.72405,0.00968,1,loser,winner
21/10/1906,Argentina,Uruguay,الأرجنتين,أوروغواي,2,1,Copa Newton,كأس نيوتن,Buenos Aires,Argentina,الأرجنتين,FALSE,21,10,1906,1,-1,3,20,1,1,Argentina,Uruguay,6,1,0.43289,0.10853,1,winner,loser
18/03/1907,England,Wales,إنجلترا,ويلز,1,1,British Championship, البطولة البريطانية,London,England,إنجلترا,FALSE,18,3,1907,0,0,2,21,1,0,England,Wales,7,0,0.94094,0.13946,1,draw,draw
14/04/1907,Belgium,Netherlands,بلجيكا,هولندا,1,3,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,14,4,1907,-2,2,4,22,1,1,Belgium,Netherlands,7,2,0.64182,0.95946,1,loser,winner
21/04/1907,Belgium,France,بلجيكا,فرنسا,1,2,Friendly,مبارة ودية,Brussels,Belgium,بلجيكا,FALSE,21,4,1907,-1,1,3,23,1,0,Belgium,France,7,1,0.08541,0.03219,1,loser,winner
09/05/1907,Netherlands,Belgium,هولندا,بلجيكا,1,2,Friendly,مبارة ودية,Haarlem,Netherlands,هولندا,FALSE,9,5,1907,-1,1,3,24,1,1,Netherlands,Belgium,7,1,0.96616,0.39144,1,loser,winner
08/03/1908,Switzerland,France,سويسرا,فرنسا,1,2,Friendly,مبارة ودية,Geneva,Switzerland,سويسرا,FALSE,8,3,1908,-1,1,3,25,0,0,Switzerland,France,8,1,0.4805,0.15903,1,loser,winner
16/03/1908,Wales,England,ويلز,إنجلترا,1,7,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,FALSE,16,3,1908,-6,6,8,26,0,1,Wales,England,8,6,0.68501,0.69785,1,loser,winner
29/03/1908,Belgium,Netherlands,بلجيكا,هولندا,1,4,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,29,3,1908,-3,3,5,27,1,1,Belgium,Netherlands,8,3,0.33947,0.65572,1,loser,winner
05/04/1908,Switzerland,Germany,سويسرا,ألمانيا,5,3,Friendly,مبارة ودية,Basel,Switzerland,سويسرا,FALSE,5,4,1908,2,-2,8,28,0,1,Switzerland,Germany,8,2,0.7869,0.76033,1,winner,loser
12/04/1908,France,Belgium,فرنسا,بلجيكا,1,2,Friendly,مبارة ودية,Colombes,France,فرنسا,FALSE,12,4,1908,-1,1,3,29,0,1,France,Belgium,8,1,0.12137,0.04366,1,loser,winner
26/04/1908,Netherlands,Belgium,هولندا,بلجيكا,3,1,Friendly,مبارة ودية,Rotterdam,Netherlands,هولندا,FALSE,26,4,1908,2,-2,4,30,1,1,Netherlands,Belgium,8,2,0.81934,0.8281,1,winner,loser
10/05/1908,Netherlands,France,هولندا,فرنسا,4,1,Friendly,مبارة ودية,Rotterdam,Netherlands,هولندا,FALSE,10,5,1908,3,-3,5,31,1,0,Netherlands,France,8,3,0.74209,0.12457,1,winner,loser
15/08/1908,Uruguay,Argentina,أوروغواي,الأرجنتين,2,2,Copa Lipton, كأس ليبتون,Montevideo,Uruguay,أوروغواي,FALSE,15,8,1908,0,0,4,32,1,1,Uruguay,Argentina,8,0,0.48291,0.43999,1,draw,draw
13/09/1908,Argentina,Uruguay,الأرجنتين,أوروغواي,2,1,Copa Newton,كأس نيوتن,Buenos Aires,Argentina,الأرجنتين,FALSE,13,9,1908,1,-1,3,33,1,1,Argentina,Uruguay,8,1,0.73164,0.15123,1,winner,loser
04/10/1908,Argentina,Uruguay,الأرجنتين,أوروغواي,0,1,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,FALSE,4,10,1908,-1,1,1,34,1,1,Argentina,Uruguay,8,1,0.01594,0.18676,1,loser,winner
15/03/1909,England,Wales,إنجلترا,ويلز,2,0,British Championship, البطولة البريطانية,Nottingham,England,إنجلترا,FALSE,15,3,1909,2,-2,2,35,1,0,England,Wales,9,2,0.34003,0.82075,1,winner,loser
21/03/1909,Belgium,Netherlands,بلجيكا,هولندا,1,4,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,21,3,1909,-3,3,5,36,1,1,Belgium,Netherlands,9,3,0.79134,0.22508,1,loser,winner
04/04/1909,Germany,Switzerland,ألمانيا,سويسرا,1,0,Friendly,مبارة ودية,Karlsruhe,Germany,ألمانيا,FALSE,4,4,1909,1,-1,1,37,1,0,Germany,Switzerland,9,1,0.89395,0.46182,1,winner,loser
25/04/1909,Netherlands,Belgium,هولندا,بلجيكا,4,1,Friendly,مبارة ودية,Rotterdam,Netherlands,هولندا,FALSE,25,4,1909,3,-3,5,38,1,1,Netherlands,Belgium,9,3,0.50579,0.89458,1,winner,loser
09/05/1909,Belgium,France,بلجيكا,فرنسا,5,2,Friendly,مبارة ودية,Brussels,Belgium,بلجيكا,FALSE,9,5,1909,3,-3,7,39,1,0,Belgium,France,9,3,0.83698,0.43885,1,winner,loser
15/08/1909,Argentina,Uruguay,الأرجنتين,أوروغواي,2,1,Copa Lipton, كأس ليبتون,Buenos Aires,Argentina,الأرجنتين,FALSE,15,8,1909,1,-1,3,40,1,1,Argentina,Uruguay,9,1,0.67799,0.30068,1,winner,loser
19/09/1909,Uruguay,Argentina,أوروغواي,الأرجنتين,2,2,Copa Newton,كأس نيوتن,Montevideo,Uruguay,أوروغواي,FALSE,19,9,1909,0,0,4,41,1,1,Uruguay,Argentina,9,0,0.08252,0.35677,1,draw,draw
10/10/1909,Argentina,Uruguay,الأرجنتين,أوروغواي,3,1,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,FALSE,10,10,1909,2,-2,4,42,1,1,Argentina,Uruguay,9,2,0.62124,0.98967,1,winner,loser
13/03/1910,Belgium,Netherlands,بلجيكا,هولندا,3,2,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,13,3,1910,1,-1,5,43,1,1,Belgium,Netherlands,0,1,0.48635,0.27383,2,winner,loser
14/03/1910,Wales,England,ويلز,إنجلترا,0,1,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,FALSE,14,3,1910,-1,1,1,44,0,1,Wales,England,0,1,0.33941,0.54379,2,loser,winner
03/04/1910,France,Belgium,فرنسا,بلجيكا,0,4,Friendly,مبارة ودية,Gentilly,France,فرنسا,FALSE,3,4,1910,-4,4,4,45,0,1,France,Belgium,0,4,0.87944,0.51288,2,loser,winner
03/04/1910,Switzerland,Germany,سويسرا,ألمانيا,2,3,Friendly,مبارة ودية,Basel,Switzerland,سويسرا,FALSE,3,4,1910,-1,1,5,46,0,1,Switzerland,Germany,0,1,0.46403,0.0186,2,loser,winner
10/04/1910,Netherlands,Belgium,هولندا,بلجيكا,7,0,Friendly,مبارة ودية,Haarlem,Netherlands,هولندا,FALSE,10,4,1910,7,-7,7,47,1,1,Netherlands,Belgium,0,7,0.46759,0.99983,2,winner,loser
24/04/1910,Netherlands,Germany,هولندا,ألمانيا,4,2,Friendly,مبارة ودية,Arnhem,Netherlands,هولندا,FALSE,24,4,1910,2,-2,6,48,1,1,Netherlands,Germany,0,2,0.5148,0.03713,2,winner,loser
16/05/1910,Germany,Belgium,ألمانيا,بلجيكا,0,3,Friendly,مبارة ودية,Duisburg,Germany,ألمانيا,FALSE,16,5,1910,-3,3,3,49,1,1,Germany,Belgium,0,3,0.33764,0.80464,2,loser,winner
12/06/1910,Argentina,Uruguay,الأرجنتين,أوروغواي,4,1,Friendly,مبارة ودية,Buenos Aires,Argentina,الأرجنتين,FALSE,12,6,1910,3,-3,5,50,1,1,Argentina,Uruguay,0,3,0.95692,0.1765,2,winner,loser
15/08/1910,Uruguay,Argentina,أوروغواي,الأرجنتين,3,1,Copa Lipton, كأس ليبتون,Montevideo,Uruguay,أوروغواي,FALSE,15,8,1910,2,-2,4,51,1,1,Uruguay,Argentina,0,2,0.43194,0.86995,2,winner,loser
16/10/1910,Germany,Netherlands,ألمانيا,هولندا,1,2,Friendly,مبارة ودية,Kleve,Germany,ألمانيا,FALSE,16,10,1910,-1,1,3,52,1,1,Germany,Netherlands,0,1,0.09849,0.65734,2,loser,winner
13/11/1910,Argentina,Uruguay,الأرجنتين,أوروغواي,1,1,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,FALSE,13,11,1910,0,0,2,53,1,1,Argentina,Uruguay,0,0,0.86691,0.3122,2,draw,draw
27/11/1910,Argentina,Uruguay,الأرجنتين,أوروغواي,2,6,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,FALSE,27,11,1910,-4,4,8,54,1,1,Argentina,Uruguay,0,4,0.18399,0.97656,2,loser,winner
13/03/1911,England,Wales,إنجلترا,ويلز,3,0,British Championship, البطولة البريطانية,London,England,إنجلترا,FALSE,13,3,1911,3,-3,3,55,1,0,England,Wales,1,3,0.71792,0.08493,2,winner,loser
19/03/1911,Belgium,Netherlands,بلجيكا,هولندا,1,5,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,19,3,1911,-4,4,6,56,1,1,Belgium,Netherlands,1,4,0.7103,0.06806,2,loser,winner
26/03/1911,Germany,Switzerland,ألمانيا,سويسرا,6,2,Friendly,مبارة ودية,Stuttgart,Germany,ألمانيا,FALSE,26,3,1911,4,-4,8,57,1,0,Germany,Switzerland,1,4,0.9369,0.64427,2,winner,loser
02/04/1911,Netherlands,Belgium,هولندا,بلجيكا,3,1,Friendly,مبارة ودية,Dordrecht,Netherlands,هولندا,FALSE,2,4,1911,2,-2,4,58,1,1,Netherlands,Belgium,1,2,0.87005,0.21851,2,winner,loser
23/04/1911,Belgium,Germany,بلجيكا,ألمانيا,2,1,Friendly,مبارة ودية,Li√®ge,Belgium,بلجيكا,FALSE,23,4,1911,1,-1,3,59,1,1,Belgium,Germany,1,1,0.1138,0.2065,2,winner,loser
23/04/1911,Switzerland,France,سويسرا,فرنسا,5,2,Friendly,مبارة ودية,Geneva,Switzerland,سويسرا,FALSE,23,4,1911,3,-3,7,60,0,0,Switzerland,France,1,3,0.33022,0.30438,2,winner,loser
30/04/1911,Belgium,France,بلجيكا,فرنسا,7,1,Friendly,مبارة ودية,Uccle,Belgium,بلجيكا,FALSE,30,4,1911,6,-6,8,61,1,0,Belgium,France,1,6,1.80E-04,0.38251,2,winner,loser
15/08/1911,Argentina,Uruguay,الأرجنتين,أوروغواي,0,2,Copa Lipton, كأس ليبتون,Buenos Aires,Argentina,الأرجنتين,FALSE,15,8,1911,-2,2,2,62,1,1,Argentina,Uruguay,1,2,0.83843,0.26518,2,loser,winner
17/09/1911,Uruguay,Argentina,أوروغواي,الأرجنتين,2,3,Copa Newton,كأس نيوتن,Montevideo,Uruguay,أوروغواي,FALSE,17,9,1911,-1,1,5,63,1,1,Uruguay,Argentina,1,1,0.13662,0.25993,2,loser,winner
08/10/1911,Uruguay,Argentina,أوروغواي,الأرجنتين,1,1,Copa Premio Honor Uruguayo, كأس أورغواي الفخرية,Montevideo,Uruguay,أوروغواي,FALSE,8,10,1911,0,0,2,64,1,1,Uruguay,Argentina,1,0,0.46026,0.93109,2,draw,draw
22/10/1911,Argentina,Uruguay,الأرجنتين,أوروغواي,2,0,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,FALSE,22,10,1911,2,-2,2,65,1,1,Argentina,Uruguay,1,2,0.94177,0.88046,2,winner,loser
29/10/1911,Uruguay,Argentina,أوروغواي,الأرجنتين,3,0,Copa Premio Honor Uruguayo, كأس أورغواي الفخرية,Montevideo,Uruguay,أوروغواي,FALSE,29,10,1911,3,-3,3,66,1,1,Uruguay,Argentina,1,3,0.76615,0.69561,2,winner,loser
28/01/1912,France,Belgium,فرنسا,بلجيكا,1,1,Friendly,مبارة ودية,Saint-Ouen,France,فرنسا,FALSE,28,1,1912,0,0,2,67,0,1,France,Belgium,2,0,0.24444,0.48622,2,draw,draw
18/02/1912,France,Switzerland,فرنسا,سويسرا,4,1,Friendly,مبارة ودية,Saint-Ouen,France,فرنسا,FALSE,18,2,1912,3,-3,5,68,0,0,France,Switzerland,2,3,0.16104,0.07883,2,winner,loser
20/02/1912,Belgium,Switzerland,بلجيكا,سويسرا,9,2,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,20,2,1912,7,-7,11,69,1,0,Belgium,Switzerland,2,7,0.33053,0.6486,2,winner,loser
10/03/1912,Belgium,Netherlands,بلجيكا,هولندا,1,2,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,10,3,1912,-1,1,3,70,1,1,Belgium,Netherlands,2,1,0.62944,0.23237,2,loser,winner
11/03/1912,Wales,England,ويلز,إنجلترا,0,2,British Championship, البطولة البريطانية,Wrexham,Wales,ويلز,FALSE,11,3,1912,-2,2,2,71,0,1,Wales,England,2,2,0.11583,0.16345,2,loser,winner
24/03/1912,Netherlands,Germany,هولندا,ألمانيا,5,5,Friendly,مبارة ودية,Zwolle,Netherlands,هولندا,FALSE,24,3,1912,0,0,10,72,1,1,Netherlands,Germany,2,0,0.18547,0.98378,2,draw,draw
28/04/1912,Netherlands,Belgium,هولندا,بلجيكا,4,3,Friendly,مبارة ودية,Dordrecht,Netherlands,هولندا,FALSE,28,4,1912,1,-1,7,73,1,1,Netherlands,Belgium,2,1,0.66232,0.79557,2,winner,loser
05/05/1912,Switzerland,Germany,سويسرا,ألمانيا,1,2,Friendly,مبارة ودية,St. Gallen,Switzerland,سويسرا,FALSE,5,5,1912,-1,1,3,74,0,1,Switzerland,Germany,2,1,0.02101,0.5537,2,loser,winner
15/08/1912,Uruguay,Argentina,أوروغواي,الأرجنتين,2,0,Copa Lipton, كأس ليبتون,Montevideo,Uruguay,أوروغواي,FALSE,15,8,1912,2,-2,2,75,1,1,Uruguay,Argentina,2,2,0.34656,0.6477,2,winner,loser
25/08/1912,Uruguay,Argentina,أوروغواي,الأرجنتين,3,0,Copa Premio Honor Uruguayo, كأس أورغواي الفخرية,Montevideo,Uruguay,أوروغواي,FALSE,25,8,1912,3,-3,3,76,1,1,Uruguay,Argentina,2,3,0.12034,0.85177,2,winner,loser
22/09/1912,Argentina,Uruguay,الأرجنتين,أوروغواي,0,1,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,FALSE,22,9,1912,-1,1,1,77,1,1,Argentina,Uruguay,2,1,0.97386,0.74696,2,loser,winner
06/10/1912,Argentina,Uruguay,الأرجنتين,أوروغواي,3,3,Copa Newton,كأس نيوتن,Avellaneda,Argentina,الأرجنتين,FALSE,6,10,1912,0,0,6,78,1,1,Argentina,Uruguay,2,0,0.16806,0.50965,2,draw,draw
06/10/1912,Denmark,Germany,الدنمارك,ألمانيا,3,1,Friendly,مبارة ودية,Copenhagen,Denmark,الدنمارك,FALSE,6,10,1912,2,-2,4,79,1,1,Denmark,Germany,2,2,0.50639,0.03732,2,winner,loser
17/11/1912,Germany,Netherlands,ألمانيا,هولندا,2,3,Friendly,مبارة ودية,Leipzig,Germany,ألمانيا,FALSE,17,11,1912,-1,1,5,80,1,1,Germany,Netherlands,2,1,0.44556,0.04262,2,loser,winner
01/12/1912,Uruguay,Argentina,أوروغواي,الأرجنتين,1,3,Friendly,مبارة ودية,Montevideo,Uruguay,أوروغواي,FALSE,1,12,1912,-2,2,4,81,1,1,Uruguay,Argentina,2,2,0.51906,0.29107,2,loser,winner
16/02/1913,Belgium,France,بلجيكا,فرنسا,3,0,Friendly,مبارة ودية,Brussels,Belgium,بلجيكا,FALSE,16,2,1913,3,-3,3,82,1,0,Belgium,France,3,3,0.21092,0.28908,2,winner,loser
09/03/1913,Belgium,Netherlands,بلجيكا,هولندا,3,3,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,9,3,1913,0,0,6,83,1,1,Belgium,Netherlands,3,0,0.14093,0.32001,2,draw,draw
09/03/1913,Switzerland,France,سويسرا,فرنسا,1,4,Friendly,مبارة ودية,Geneva,Switzerland,سويسرا,FALSE,9,3,1913,-3,3,5,84,0,0,Switzerland,France,3,3,0.251,0.01669,2,loser,winner
17/03/1913,England,Wales,إنجلترا,ويلز,4,3,British Championship, البطولة البريطانية,Bristol,England,إنجلترا,FALSE,17,3,1913,1,-1,7,85,1,0,England,Wales,3,1,0.29209,0.82578,2,winner,loser
20/04/1913,Netherlands,Belgium,هولندا,بلجيكا,2,4,Friendly,مبارة ودية,Zwolle,Netherlands,هولندا,FALSE,20,4,1913,-2,2,6,86,1,1,Netherlands,Belgium,3,2,0.67346,0.80479,2,loser,winner
04/05/1913,Switzerland,Belgium,سويسرا,بلجيكا,1,2,Friendly,مبارة ودية,Basel,Switzerland,سويسرا,FALSE,4,5,1913,-1,1,3,87,0,1,Switzerland,Belgium,3,1,0.04192,0.46218,2,loser,winner
18/05/1913,Germany,Switzerland,ألمانيا,سويسرا,1,2,Friendly,مبارة ودية,Freiburg,Germany,ألمانيا,FALSE,18,5,1913,-1,1,3,88,1,0,Germany,Switzerland,3,1,0.38463,0.37574,2,loser,winner
15/06/1913,Argentina,Uruguay,الأرجنتين,أوروغواي,1,1,Friendly,مبارة ودية,Avellaneda,Argentina,الأرجنتين,FALSE,15,6,1913,0,0,2,89,1,1,Argentina,Uruguay,3,0,0.24359,0.71956,2,draw,draw
09/07/1913,Argentina,Uruguay,الأرجنتين,أوروغواي,2,1,Friendly,مبارة ودية,Avellaneda,Argentina,الأرجنتين,FALSE,9,7,1913,1,-1,3,90,1,1,Argentina,Uruguay,3,1,0.77826,0.6284,2,winner,loser
15/08/1913,Argentina,Uruguay,الأرجنتين,أوروغواي,4,0,Copa Lipton, كأس ليبتون,Avellaneda,Argentina,الأرجنتين,FALSE,15,8,1913,4,-4,4,91,1,1,Argentina,Uruguay,3,4,0.91142,0.26314,2,winner,loser
31/08/1913,Argentina,Uruguay,الأرجنتين,أوروغواي,2,0,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,FALSE,31,8,1913,2,-2,2,92,1,1,Argentina,Uruguay,3,2,0.91327,0.18085,2,winner,loser
05/10/1913,Uruguay,Argentina,أوروغواي,الأرجنتين,1,0,Copa Premio Honor Uruguayo, كأس أورغواي الفخرية,Montevideo,Uruguay,أوروغواي,FALSE,5,10,1913,1,-1,1,93,1,1,Uruguay,Argentina,3,1,0.64681,0.22041,2,winner,loser
26/10/1913,Germany,Denmark,ألمانيا,الدنمارك,1,4,Friendly,مبارة ودية,Hamburg,Germany,ألمانيا,FALSE,26,10,1913,-3,3,5,94,1,1,Germany,Denmark,3,3,0.55899,0.41373,2,loser,winner
26/10/1913,Uruguay,Argentina,أوروغواي,الأرجنتين,1,0,Copa Newton,كأس نيوتن,Montevideo,Uruguay,أوروغواي,FALSE,26,10,1913,1,-1,1,95,1,1,Uruguay,Argentina,3,1,0.03246,0.90426,2,winner,loser
02/11/1913,Belgium,Switzerland,بلجيكا,سويسرا,2,0,Friendly,مبارة ودية,Verviers,Belgium,بلجيكا,FALSE,2,11,1913,2,-2,2,96,1,0,Belgium,Switzerland,3,2,0.60705,0.50049,2,winner,loser
23/11/1913,Belgium,Germany,بلجيكا,ألمانيا,6,2,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,23,11,1913,4,-4,8,97,1,1,Belgium,Germany,3,4,0.21062,0.71508,2,winner,loser
25/01/1914,France,Belgium,فرنسا,بلجيكا,4,3,Friendly,مبارة ودية,Lille,France,فرنسا,FALSE,25,1,1914,1,-1,7,98,0,1,France,Belgium,4,1,0.51034,0.99109,2,winner,loser
08/03/1914,France,Switzerland,فرنسا,سويسرا,2,2,Friendly,مبارة ودية,Saint-Ouen,France,فرنسا,FALSE,8,3,1914,0,0,4,99,0,0,France,Switzerland,4,0,0.5092,0.94515,2,draw,draw
15/03/1914,Belgium,Netherlands,بلجيكا,هولندا,2,4,Friendly,مبارة ودية,Antwerp,Belgium,بلجيكا,FALSE,15,3,1914,-2,2,6,100,1,1,Belgium,Netherlands,4,2,0.36754,0.5813,2,loser,winner
16/03/1914,Wales,England,ويلز,إنجلترا,0,2,British Championship, البطولة البريطانية,Cardiff,Wales,ويلز,FALSE,16,3,1914,-2,2,2,101,0,1,Wales,England,4,2,0.47803,0.57159,2,loser,winner
05/04/1914,Netherlands,Germany,هولندا,ألمانيا,4,4,Friendly,مبارة ودية,Amsterdam,Netherlands,هولندا,FALSE,5,4,1914,0,0,8,102,1,1,Netherlands,Germany,4,0,0.56769,0.93875,2,draw,draw
26/04/1914,Netherlands,Belgium,هولندا,بلجيكا,4,2,Friendly,مبارة ودية,Amsterdam,Netherlands,هولندا,FALSE,26,4,1914,2,-2,6,103,1,1,Netherlands,Belgium,4,2,0.05455,0.64142,2,winner,loser
17/05/1914,Denmark,Netherlands,الدنمارك,هولندا,4,3,Friendly,مبارة ودية,Copenhagen,Denmark,الدنمارك,FALSE,17,5,1914,1,-1,7,104,1,1,Denmark,Netherlands,4,1,0.90335,0.19729,2,winner,loser
30/08/1914,Uruguay,Argentina,أوروغواي,الأرجنتين,3,2,Copa Premio Honor Uruguayo, كأس أورغواي الفخرية,Montevideo,Uruguay,أوروغواي,FALSE,30,8,1914,1,-1,5,105,1,1,Uruguay,Argentina,4,1,0.96531,0.88838,2,winner,loser
13/09/1914,Argentina,Uruguay,الأرجنتين,أوروغواي,2,1,Copa Premio Honor Argentino, كأس الأرجنتين الفخرية,Buenos Aires,Argentina,الأرجنتين,FALSE,13,9,1914,1,-1,3,106,1,1,Argentina,Uruguay,4,1,0.0672,0.01423,2,winner,loser
20/09/1914,Argentina,Brazil,الأرجنتين,البرازيل,3,0,Friendly,مبارة ودية,Buenos Aires,Argentina,الأرجنتين,FALSE,20,9,1914,3,-3,3,107,1,0,Argentina,Brazil,4,3,0.77439,0.58337,2,winner,loser
27/09/1914,Argentina,Brazil,الأرجنتين,البرازيل,0,1,Copa Roca, كأس روكا,Buenos Aires,Argentina,الأرجنتين,FALSE,27,9,1914,-1,1,1,108,1,0,Argentina,Brazil,4,1,0.3192,0.84313,2,loser,winner
18/07/1915,Uruguay,Argentina,أوروغواي,الأرجنتين,2,3,Copa Premio Honor Uruguayo, كأس أورغواي الفخرية,Montevideo,Uruguay,أوروغواي,FALSE,18,7,1915,-1,1,5,109,1,1,Uruguay,Argentina,5,1,0.41811,0.48898,2,loser,winner
15/08/1915,Argentina,Uruguay,الأرجنتين,أوروغواي,2,1,Copa Lipton, كأس ليبتون,Buenos Aires,Argentina,الأرجنتين,FALSE,15,8,1915,1,-1,3,110,1,1,Argentina,Uruguay,5,1,0.60053,0.12035,2,winner,loser
